INDEX,rank display,institution,location code,size,research,focus,status,ar score,ar rank,er score,er rank,fsr score,fsr rank,cpf score,cpf rank,ger score,ger rank,ifr score,ifr rank,irn score,irn rank,isr score,isr rank,SUS SCORE,SUS RANK,Overall Score
1,1,Massachusetts Institute of Technology (MIT),US,M,VH,CO,B,100,4,100,2,100,11,100,9,100,8,99.3,100,96,58,86.8,143,99,15=,100
2,2,Imperial College London,GB,L,VH,FC,A,98.5,22,99.5,11,98.2,45,93.9,54,93.4,61,100,66,97.4,34,99.6,44,99.7,6,98.5
3,3,University of Oxford,GB,L,VH,FC,A,100,2,100,5,100,8,84.8,93,100,3,98.1,120,100,1,97.7,73,85,126,96.9
4,4,Harvard University,US,L,VH,FC,B,100,1,100,1,96.3,53,100,1,100,1,74.1,269,99.6,5,69,215,84.4,130,96.8
5,5,University of Cambridge,GB,L,VH,FC,A,100,3,100,4,100,17,84.6,96,100,5,100,73,99.3,10,94.8,98,84.8,127=,96.7
6,6,Stanford University,US,L,VH,FC,B,100,5,100,3,100,12,99,27,100,2,70.3,284,96.8,45,60.8,244,81.2,148=,96.1
7,7,ETH Zurich - Swiss Federal Institute of Technology,CH,L,VH,FO,A,98.8,19,87.2,57,65.9,199,97.9,35,90.5,73,100,25,95.7,64,98.6,63,98.8,18,93.9
8,8,National University of Singapore (NUS),SG,XL,VH,FC,A,99.5,15,91.1,48,68.8,189,93.1,61,100,6,100,41,91.6,146,88.9,129,97.7,26=,93.7
9,9,UCL,GB,XL,VH,FC,A,99.5,14,98.3,18,95.9,56,72.2,145,70.3,157,99,106,99.9,2,100,21,74.8,190=,91.6
10,10,California Institute of Technology (Caltech),US,S,VH,CO,B,96.5,29,95.3,33,100,4,100,5,31,407,100,65,65.5,549,79.8,172,62.5,253,90.9
11,11,University of Pennsylvania,US,L,VH,FC,B,96.3,31,91.9,45,99.8,28,74,138,100,7,90.9,188,91.9,137,66.2,226,93,71,90.3
12,12,"University of California, Berkeley (UCB)",US,XL,VH,FC,A,100,6,100,6,23.5,615,98.2,33,98.4,23,91.5,182,97.2,39,61,242,100,2,90.1
13,13,The University of Melbourne,AU,XL,VH,FC,A,98.5,21,93.9,39,15.4,701+,93,62,96.5,39,95.1,148,97.4,33,99.8,39,99.6,9,88.9
14,14,Peking University,CN,XL,VH,FC,A,99.5,13,96.6,28,92.6,75,97.7,40,94.2,56,50.3,365,79.8,329,23.6,497,46.9,330=,88.5
15,15,"Nanyang Technological University, Singapore (NTU)",SG,L,VH,FC,A,91.9,42,73.3,92,80.6,130,92.4,66,83.9,104,100,42,89.4,178,83.5,160,95.6,50=,88.4
16,16,Cornell University,US,L,VH,FC,B,98.3,25,93.1,42,52.7,289,97.5,43,97.1,34,54.2,347,94,99,63.4,237,72.1,208=,87.9
17,17,The University of Hong Kong,HK,L,VH,FC,A,97.4,27,59.4,135,81.2,124,86.4,89,99.7,14,100,33,81.4,300,99.3,52,89.2,101=,87.6
18,18,The University of Sydney,AU,XL,VH,FC,A,96.4,30,90,51,10.9,701+,93.7,56,93.1,63,99.9,87,95.8,61,100,17,99.6,7,87.3
19,19,The University of New South Wales (UNSW Sydney),AU,XL,VH,FC,A,90.5,43,90.4,50,20.6,660,94.9,49,97.7,29,100,57,98.3,20,99.4,48,99.2,11=,87.1
20,20,Tsinghua University,CN,XL,VH,FC,A,99.2,16,97.7,22,95,62,99.1,26,92.3,68,18.1,623,79.2,337,13.4,654,40.4,363=,86.5
21,21,University of Chicago,US,L,VH,FC,B,99.1,17,96.4,29,94.2,69,60.8,197,99.1,16,79,244,85.1,245,87,140,46.9,330=,86.2
22,22,Princeton University,US,M,VH,CO,B,99.8,10,98.3,19,57,258,100,3,95.7,48,9.6,701+,78.3,354,56.6,264,51.5,312,85.5
23,23,Yale University,US,L,VH,FC,B,99.9,9,99.9,7,100,3,38.6,363,98.5,21,91.5,181,93.9,100,63.3,238,92.2,76=,85.2
24,24,Université PSL,FR,L,VH,CO,A,74.4,81,97.6,23,98.1,46,87.6,85,97.1,33,62.3,315,99.8,3,65,230,73.4,197,84.7
25,25,University of Toronto,CA,XL,VH,FC,A,99.7,11,96.9,27,44.9,344,50.8,257,98.7,19,96.9,132,97.7,29,96.1,90,100,1,84.1
26,26,EPFL,CH,M,VH,FO,A,84.2,56,67.2,111,91.2,80,93.6,57,27.2,440,100,28,81.7,291,100,14,86.7,114=,83.5
27,27,The University of Edinburgh,GB,XL,VH,FC,A,98.3,24,97.2,24,65.5,201,47.7,282,55.9,222,98.7,111,99.5,7,99.8,41,99,15=,83.3
28,28,Technical University of Munich,DE,XL,VH,FO,A,83,61,98.6,17,76.8,155,75.9,133,34.5,365,80.4,236,95.6,68,98.6,64,93.1,70,83.2
29,29,McGill University,CA,L,VH,FC,A,94.3,34,87.6,56,62.3,224,57.9,212,98.3,24,83.7,225,94.2,94,89.6,124,99.1,13,83
30,30,The Australian National University,AU,L,VH,FC,A,93.8,36,75.4,85,34.6,457,84.6,97,56.6,216,100,52,91.4,151,96.2,89,97.1,30=,82.4
31,31,Seoul National University,KR,L,VH,FC,A,98.5,20,98.6,16,83.1,117,71.7,151,100,4,10.5,701+,73.2,435,16.9,586,96,46=,82.3
32,32,Johns Hopkins University,US,L,VH,FC,B,86,53,62.6,129,100,7,84.2,99,71.5,152,63.7,307,98.7,15,95.8,92,61.9,258=,82.1
33,32,The University of Tokyo,JP,L,VH,FC,A,100,7,99.8,9,89.3,89,57.3,215,99.9,10,10.1,701+,87.4,207,29.7,432,98.3,22,82.1
34,34,Columbia University,US,XL,VH,FC,B,99.6,12,98.8,15,100,16,31.7,417,99.9,9,41.5,413,98.5,19,97,79,71.8,211=,82
35,34,The University of Manchester,GB,XL,VH,FC,A,95.6,33,98.1,20,51.3,297,45.1,307,87.6,90,93.1,169,99.2,12,99.2,55,99.8,3,82
36,36,The Chinese University of Hong Kong (CUHK),HK,L,VH,FC,A,86.7,51,53.3,159,64.2,212,92.9,64,89,82,100,58,74.2,419,87.5,137,86.7,114=,81.3
37,37,Monash University,AU,XL,VH,FC,A,89.2,47,79.6,78,9.4,701+,87.6,84,79.4,126,100,59,94.8,81,100,24,98.2,23,81.2
38,38,University of British Columbia,CA,XL,VH,FC,A,98.3,23,94.3,36,34.5,459,57.7,214,74.6,141,95.5,142,96.2,53,72.8,200,99.8,4,81
39,39,Fudan University,CN,XL,VH,FC,A,85.7,54,87.8,55,79.7,140,80.7,107,64.4,183,88.4,201,67.2,519,35.1,390,82.7,142,80.3
40,40,King's College London,GB,XL,VH,FC,A,90.3,44,85.7,64,64.3,210,53.6,238,59.8,205,99.1,103,98.6,17,99.5,47,96.2,44=,80.2
41,40,The University of Queensland,AU,XL,VH,FC,A,86.7,50,74,89,21.2,653,90.2,75,56.7,214,100,54,96.7,47,100,23,96.7,36,80.2
42,42,"University of California, Los Angeles (UCLA)",US,XL,VH,FC,A,100,8,99.8,8,35.4,448,74,137,94.7,53,42.2,407,95.5,69,22.3,515,67.1,232=,79.8
43,43,New York University (NYU),US,XL,VH,FC,B,96.3,32,98.8,14,90.5,83,28.6,453,98.4,22,30.2,492,92.6,126,98.1,68,95.4,55=,79.6
44,44,University of Michigan-Ann Arbor,US,XL,VH,FC,A,97.9,26,92.1,43,80.3,133,47.6,284,94.5,55,65.5,299,95.8,63,39.2,359,62.2,254=,79
